graph_name,pattern,AM,GM
cit-patents,triangle,0.022806330000000003,0.017400888917455372
livej,triangle,0.0092255358,0.00657218594391371
mico,triangle,0.11866650450000002,0.08359241171455577
orkut,triangle,0.0065717215,0.005230461603900986
patent_citations,triangle,0.027123751,0.02021986709955563
twitter20,triangle,0.00457327905,0.003557552315935514
youtube,triangle,0.0046092238,0.003643269630682261
cit-patents,4clique,0.033904689499999995,0.028771708703299932
livej,4clique,0.0035167325000000004,0.0028068441869851433
mico,4clique,0.20446235649999997,0.16088184267728903
orkut,4clique,0.058865,0.058865
patent_citations,4clique,0.034213088999999995,0.02584822309384466
youtube,4clique,0.0013525166600000002,0.0008944788815525378
cit-patents,5house,0.030068208461538466,0.024275645775644276
mico,5house,0.12718039,0.11332557099513989
youtube,5house,0.00047673649999999996,0.0003707183892471481
livej,5house,0.00013092911000000003,0.00011029915130012442
patent_citations,5house,0.01884925,0.017172985553691057
